buffer,lon,lat,year,TIN,NO3,NH4
10km,-91.7926255,32.7751347,2018,452.73187255859375,195.0623779296875,257.66949462890625
10km,-91.7926255,32.7751347,2019,654.62628173828125,250.81475830078125,403.8115234375
10km,-91.7926255,32.7751347,2020,552.218505859375,223.39996337890625,328.81854248046875
10km,-91.7928402,32.3887281,1999,620.410400390625,336.6152038574219,283.79522705078125
10km,-91.7928402,32.3887281,2000,534.34271240234375,285.665283203125,248.677490234375
10km,-91.7928402,32.3887281,2001,657.30609130859375,344.4415283203125,312.8645324707031
10km,-91.7928402,32.3887281,2002,561.79437255859375,288.43988037109375,273.3545227050781
10km,-91.7928402,32.3887281,2003,518.80926513671875,238.510986328125,280.2982177734375
10km,-91.7928402,32.3887281,2004,649.69976806640625,338.0625915527344,311.63714599609375
10km,-91.7928402,32.3887281,2005,433.02362060546875,206.97491455078125,226.04869079589844
10km,-91.7928402,32.3887281,2006,611.61529541015625,297.94659423828125,313.6687316894531
10km,-91.7928402,32.3887281,2007,399.3911437988281,190.4955291748047,208.89561462402344
10km,-91.7928402,32.3887281,2008,511.2933654785156,244.48135375976562,266.8119812011719
10km,-91.7928402,32.3887281,2009,517.577880859375,202.39047241210938,315.1874084472656
10km,-91.7928402,32.3887281,2010,324.5190124511719,140.3022003173828,184.21681213378906
10km,-91.7928402,32.3887281,2011,487.29595947265625,211.9567413330078,275.3392333984375
10km,-91.7928402,32.3887281,2012,594.01318359375,250.7796173095703,343.23358154296875
10km,-91.7928402,32.3887281,2013,462.44384765625,197.00401306152344,265.4398498535156
10km,-91.7928402,32.3887281,2014,484.5256652832031,207.79759216308594,276.72808837890625
10km,-91.7928402,32.3887281,2015,451.8985290527344,188.74349975585938,263.155029296875
10km,-91.7928402,32.3887281,2016,558.09539794921875,233.41561889648438,324.6798095703125
10km,-91.7928402,32.3887281,2017,440.8907775878906,176.787841796875,264.1029357910156
10km,-91.7928402,32.3887281,2018,477.1285705566406,203.0174102783203,274.11114501953125
10km,-91.7928402,32.3887281,2019,666.914306640625,250.71505737304688,416.19927978515625
10km,-91.7928402,32.3887281,2020,599.49993896484375,239.76614379882812,359.7337951660156
10km,-91.7928402,36.3797374,1999,435.2274475097656,237.9831085205078,197.24436950683594
10km,-91.7928402,36.3797374,2000,466.7710266113281,253.72293090820312,213.04806518554688
10km,-91.7928402,36.3797374,2001,503.6782531738281,264.4117736816406,239.26649475097656
10km,-91.7928402,36.3797374,2002,649.63128662109375,321.3276672363281,328.3035888671875
10km,-91.7928402,36.3797374,2003,618.12091064453125,301.609375,316.5115661621094
10km,-91.7928402,36.3797374,2004,500.5231628417969,248.14071655273438,252.38247680664062
10km,-91.7928402,36.3797374,2005,437.3555603027344,210.26815795898438,227.08738708496094
10km,-91.7928402,36.3797374,2006,678.2974853515625,321.7594909667969,356.5379638671875
10km,-91.7928402,36.3797374,2007,452.57025146484375,204.75099182128906,247.81924438476562
10km,-91.7928402,36.3797374,2008,611.85675048828125,280.31158447265625,331.5451965332031
10km,-91.7928402,36.3797374,2009,605.12200927734375,256.33056640625,348.7914123535156
10km,-91.7928402,36.3797374,2010,380.51043701171875,169.2899627685547,211.22047424316406
10km,-91.7928402,36.3797374,2011,821.45477294921875,324.0089111328125,497.44586181640625
10km,-91.7928402,36.3797374,2012,388.0870361328125,163.58448791503906,224.50254821777344
10km,-91.7928402,36.3797374,2013,483.4768371582031,204.27671813964844,279.2001037597656
10km,-91.7928402,36.3797374,2014,424.5699157714844,171.17564392089844,253.39427185058594
10km,-91.7928402,36.3797374,2015,562.24114990234375,220.13873291015625,342.1024169921875
10km,-91.7928402,36.3797374,2016,464.03302001953125,189.4522247314453,274.580810546875
10km,-91.7928402,36.3797374,2017,505.595458984375,190.55426025390625,315.04119873046875
10km,-91.7928402,36.3797374,2018,470.9115905761719,177.03477478027344,293.8768005371094
10km,-91.7928402,36.3797374,2019,634.654541015625,232.50755310058594,402.1470031738281
10km,-91.7928402,36.3797374,2020,515.79254150390625,187.000732421875,328.7918395996094
10km,-91.7975545,33.225724,1999,476.0971984863281,232.83457946777344,243.26263427734375
