buffer,lon,lat,year,TIN,NO3,NH4
30km,-79.4703885,35.3674493,2014,30.92119598388672,12.247264862060547,18.67392921447754
30km,-79.4703885,35.3674493,2015,32.90696716308594,13.06207275390625,19.84489631652832
30km,-79.4703885,35.3674493,2016,34.330177307128906,12.835712432861328,21.494464874267578
30km,-79.4703885,35.3674493,2017,25.528169631958008,9.441544532775879,16.086624145507812
30km,-79.4703885,35.3674493,2018,38.7235221862793,14.206827163696289,24.516698837280273
30km,-79.4703885,35.3674493,2019,31.397512435913086,11.085028648376465,20.312484741210938
30km,-79.4703885,35.3674493,2020,36.391231536865234,12.11979866027832,24.271432876586914
30km,-79.4703885,40.2353963,1999,49.05086135864258,30.63728141784668,18.4135799407959
30km,-79.4703885,40.2353963,2000,51.902740478515625,31.41507339477539,20.48766326904297
30km,-79.4703885,40.2353963,2001,44.945438385009766,26.34385108947754,18.601585388183594
30km,-79.4703885,40.2353963,2002,49.20290756225586,28.071853637695312,21.13105583190918
30km,-79.4703885,40.2353963,2003,52.037200927734375,28.992115020751953,23.04508399963379
30km,-79.4703885,40.2353963,2004,50.4639892578125,27.97290802001953,22.491079330444336
30km,-79.4703885,40.2353963,2005,39.03509521484375,21.62566375732422,17.40943145751953
30km,-79.4703885,40.2353963,2006,42.01688003540039,21.976959228515625,20.039920806884766
30km,-79.4703885,40.2353963,2007,51.22629928588867,26.621322631835938,24.604976654052734
30km,-79.4703885,40.2353963,2008,40.73421859741211,21.31932830810547,19.41489028930664
30km,-79.4703885,40.2353963,2009,30.29425811767578,15.454938888549805,14.839319229125977
30km,-79.4703885,40.2353963,2010,31.837074279785156,16.117528915405273,15.7195463180542
30km,-79.4703885,40.2353963,2011,48.45497131347656,22.67514419555664,25.77982521057129
30km,-79.4703885,40.2353963,2012,45.2403564453125,21.781063079833984,23.45929527282715
30km,-79.4703885,40.2353963,2013,42.061946868896484,20.26910400390625,21.7928409576416
30km,-79.4703885,40.2353963,2014,37.29355239868164,17.88301658630371,19.41053581237793
30km,-79.4703885,40.2353963,2015,36.71570587158203,17.252283096313477,19.463422775268555
30km,-79.4703885,40.2353963,2016,36.86857986450195,16.84661102294922,20.021968841552734
30km,-79.4703885,40.2353963,2017,41.59747314453125,17.463411331176758,24.13405990600586
30km,-79.4703885,40.2353963,2018,48.47456741333008,20.376585006713867,28.09798240661621
30km,-79.4703885,40.2353963,2019,44.367122650146484,18.97265625,25.39446449279785
30km,-79.4703885,40.2353963,2020,33.02922821044922,13.132319450378418,19.896907806396484
30km,-79.4922606,39.871742,1999,49.767276763916016,31.23845672607422,18.528820037841797
30km,-79.4922606,39.871742,2000,54.01594161987305,32.7531852722168,21.262758255004883
30km,-79.4922606,39.871742,2001,47.597415924072266,28.021358489990234,19.576059341430664
30km,-79.4922606,39.871742,2002,50.65300750732422,28.970172882080078,21.682832717895508
30km,-79.4922606,39.871742,2003,55.82462692260742,31.08690643310547,24.737720489501953
30km,-79.4922606,39.871742,2004,50.813453674316406,28.325979232788086,22.487476348876953
30km,-79.4922606,39.871742,2005,41.7630729675293,23.322969436645508,18.44010353088379
30km,-79.4922606,39.871742,2006,41.2844352722168,21.815082550048828,19.469350814819336
30km,-79.4922606,39.871742,2007,51.79895782470703,27.1373348236084,24.661623001098633
30km,-79.4922606,39.871742,2008,43.61040115356445,22.768085479736328,20.842315673828125
30km,-79.4922606,39.871742,2009,30.0736083984375,15.624637603759766,14.44897174835205
30km,-79.4922606,39.871742,2010,32.550506591796875,16.953996658325195,15.59650707244873
30km,-79.4922606,39.871742,2011,50.740135192871094,23.927352905273438,26.81278419494629
30km,-79.4922606,39.871742,2012,44.8918342590332,21.688119888305664,23.203716278076172
30km,-79.4922606,39.871742,2013,39.62922668457031,19.333450317382812,20.2957763671875
30km,-79.4922606,39.871742,2014,36.3353385925293,17.347318649291992,18.988018035888672
30km,-79.4922606,39.871742,2015,33.94948959350586,16.142736434936523,17.806753158569336
30km,-79.4922606,39.871742,2016,36.408668518066406,16.6671199798584,19.741548538208008
30km,-79.4922606,39.871742,2017,41.484291076660156,17.599590301513672,23.884700775146484
30km,-79.4922606,39.871742,2018,46.05370330810547,19.766315460205078,26.287385940551758
30km,-79.4922606,39.871742,2019,41.836666107177734,18.236846923828125,23.599821090698242
30km,-79.4922606,39.871742,2020,31.349077224731445,12.73915958404541,18.60991859436035
30km,-79.560344,42.2312829,1999,50.72240447998047,32.868370056152344,17.854032516479492
30km,-79.560344,42.2312829,2000,60.27918243408203,37.26538848876953,23.013792037963867
30km,-79.560344,42.2312829,2001,53.778812408447266,32.5084342956543,21.27037811279297
30km,-79.560344,42.2312829,2002,63.211402893066406,37.25993347167969,25.951467514038086
30km,-79.560344,42.2312829,2003,55.628292083740234,30.635528564453125,24.992767333984375
30km,-79.560344,42.2312829,2004,54.92633819580078,29.864927291870117,25.061412811279297
30km,-79.560344,42.2312829,2005,44.0142707824707,23.666465759277344,20.347806930541992
30km,-79.560344,42.2312829,2006,51.16282272338867,27.330114364624023,23.83270835876465
30km,-79.560344,42.2312829,2007,52.1695671081543,27.672199249267578,24.49736976623535
30km,-79.560344,42.2312829,2008,47.1817512512207,24.423595428466797,22.758155822753906
30km,-79.560344,42.2312829,2009,44.077659606933594,22.6872501373291,21.390409469604492
30km,-79.560344,42.2312829,2010,36.65913009643555,17.229270935058594,19.429859161376953
30km,-79.560344,42.2312829,2011,51.295841217041016,23.74701690673828,27.548826217651367
30km,-79.560344,42.2312829,2012,48.800575256347656,23.04587745666504,25.754697799682617
30km,-79.560344,42.2312829,2013,53.68741226196289,25.433557510375977,28.253856658935547
30km,-79.560344,42.2312829,2014,52.77748107910156,23.454139709472656,29.323341369628906
30km,-79.560344,42.2312829,2015,40.901424407958984,18.17770767211914,22.723716735839844
30km,-79.560344,42.2312829,2016,46.5084114074707,20.862340927124023,25.64607048034668
30km,-79.560344,42.2312829,2017,51.47486114501953,22.256458282470703,29.218406677246094
30km,-79.560344,42.2312829,2018,47.88822555541992,19.85000991821289,28.03821563720703
30km,-79.560344,42.2312829,2019,53.038509368896484,22.428165435791016,30.610340118408203
30km,-79.560344,42.2312829,2020,35.10807418823242,13.807193756103516,21.30088233947754
30km,-79.6925715,33.2860005,1999,52.56882095336914,30.893918991088867,21.674898147583008
30km,-79.6925715,33.2860005,2000,39.56767654418945,23.684885025024414,15.882789611816406
30km,-79.6925715,33.2860005,2001,31.58785057067871,18.549665451049805,13.038186073303223
30km,-79.6925715,33.2860005,2002,30.23937225341797,18.288808822631836,11.950563430786133
30km,-79.6925715,33.2860005,2003,32.925296783447266,18.176259994506836,14.749037742614746
30km,-79.6925715,33.2860005,2004,29.829256057739258,16.90005111694336,12.929203987121582
30km,-79.6925715,33.2860005,2005,27.379297256469727,15.959795951843262,11.419502258300781
30km,-79.6925715,33.2860005,2006,29.478025436401367,16.814695358276367,12.663329124450684
30km,-79.6925715,33.2860005,2007,21.459951400756836,11.547626495361328,9.912324905395508
30km,-79.6925715,33.2860005,2008,27.75284194946289,14.852242469787598,12.90060043334961
30km,-79.6925715,33.2860005,2009,28.16697120666504,14.315204620361328,13.851763725280762
30km,-79.6925715,33.2860005,2010,27.045772552490234,15.726304054260254,11.31946849822998
30km,-79.6925715,33.2860005,2011,25.59745979309082,12.43292236328125,13.164538383483887
30km,-79.6925715,33.2860005,2012,30.505645751953125,15.531196594238281,14.974448204040527
30km,-79.6925715,33.2860005,2013,30.227548599243164,13.476454734802246,16.75109100341797
30km,-79.6925715,33.2860005,2014,23.565353393554688,11.539054870605469,12.026299476623535
30km,-79.6925715,33.2860005,2015,29.896881103515625,14.160719871520996,15.736161231994629
30km,-79.6925715,33.2860005,2016,29.867443084716797,12.96062183380127,16.90682029724121
30km,-79.6925715,33.2860005,2017,28.01447105407715,12.133707046508789,15.88076400756836
30km,-79.6925715,33.2860005,2018,25.417442321777344,12.067100524902344,13.350342750549316
30km,-79.6925715,33.2860005,2019,23.62807273864746,10.570621490478516,13.057451248168945
30km,-79.6925715,33.2860005,2020,24.875703811645508,10.465351104736328,14.410354614257812
30km,-79.7848422,37.5774613,1999,36.627708435058594,22.391098022460938,14.23660945892334
30km,-79.7848422,37.5774613,2000,39.2256965637207,23.095252990722656,16.130443572998047
30km,-79.7848422,37.5774613,2001,34.045257568359375,19.423355102539062,14.62190055847168
30km,-79.7848422,37.5774613,2002,33.69093322753906,19.648048400878906,14.042884826660156
30km,-79.7848422,37.5774613,2003,48.96339416503906,27.072296142578125,21.89109992980957
30km,-79.7848422,37.5774613,2004,35.20874786376953,19.414125442504883,15.794624328613281
30km,-79.7848422,37.5774613,2005,32.94484329223633,17.457321166992188,15.487520217895508
30km,-79.7848422,37.5774613,2006,34.82229995727539,18.647743225097656,16.1745548248291
30km,-79.7848422,37.5774613,2007,29.855133056640625,15.300146102905273,14.554987907409668
30km,-79.7848422,37.5774613,2008,26.338775634765625,13.653843879699707,12.684931755065918
30km,-79.7848422,37.5774613,2009,29.507253646850586,15.092957496643066,14.414294242858887
30km,-79.7848422,37.5774613,2010,28.8359375,14.746713638305664,14.089225769042969
30km,-79.7848422,37.5774613,2011,33.6409797668457,15.180908203125,18.460071563720703
30km,-79.7848422,37.5774613,2012,29.33757209777832,13.782654762268066,15.554920196533203
30km,-79.7848422,37.5774613,2013,29.663782119750977,13.806519508361816,15.85726261138916
30km,-79.7848422,37.5774613,2014,27.13121795654297,12.956814765930176,14.174400329589844
30km,-79.7848422,37.5774613,2015,29.411903381347656,13.601798057556152,15.810105323791504
30km,-79.7848422,37.5774613,2016,32.93875503540039,14.112125396728516,18.826629638671875
30km,-79.7848422,37.5774613,2017,25.579410552978516,10.837977409362793,14.741434097290039
30km,-79.7848422,37.5774613,2018,36.71291732788086,15.360944747924805,21.351972579956055
30km,-79.7848422,37.5774613,2019,29.14826202392578,12.567693710327148,16.580568313598633
30km,-79.7848422,37.5774613,2020,34.65003967285156,12.652892112731934,21.997148513793945
30km,-79.9640339,39.6695849,1999,45.402950286865234,28.74519157409668,16.65775489807129
30km,-79.9640339,39.6695849,2000,49.49001693725586,30.0350341796875,19.454980850219727
30km,-79.9640339,39.6695849,2001,47.75632095336914,28.108234405517578,19.648086547851562
30km,-79.9640339,39.6695849,2002,47.06168746948242,27.006248474121094,20.055437088012695
30km,-79.9640339,39.6695849,2003,56.6230583190918,31.65508270263672,24.967979431152344
30km,-79.9640339,39.6695849,2004,46.88920593261719,26.45728874206543,20.431917190551758
30km,-79.9640339,39.6695849,2005,42.0989875793457,23.464889526367188,18.63409996032715
30km,-79.9640339,39.6695849,2006,40.35089874267578,21.427400588989258,18.923498153686523
30km,-79.9640339,39.6695849,2007,48.60273742675781,25.323461532592773,23.279273986816406
30km,-79.9640339,39.6695849,2008,42.3293571472168,21.930580139160156,20.398778915405273
30km,-79.9640339,39.6695849,2009,28.746536254882812,14.616101264953613,14.130435943603516
